chr	start	end	Gene	Genomic coordinates (hg19)	GC	meanMappability	Mim Number	MIM Phenotypes	MIM Inheritance
chr1	1447649	1447853	ATAD3A	chr1:1447649-1447853	0.746341463	0.656863	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1451392	1451468	ATAD3A	chr1:1451392-1451468	0.545454545	0.539474	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1452547	1452792	ATAD3A	chr1:1452547-1452792	0.658536585	0.638776	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1453096	1453155	ATAD3A	chr1:1453096-1453155	0.616666667	0.5	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1454301	1454370	ATAD3A	chr1:1454301-1454370	0.542857143	0.5	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1455928	1455997	ATAD3A	chr1:1455928-1455997	0.571428571	0.722222	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1459653	1459777	ATAD3A	chr1:1459653-1459777	0.656	0.333333	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1461841	1461911	ATAD3A	chr1:1461841-1461911	0.591549296	0.5	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	1464603	1464711	ATAD3A	chr1:1464603-1464711	0.678899083	0.49537	612316	"Harel-Yoon syndrome, 617183 (3)"	"AR, AD"
chr1	8684369	8684439	RERE	chr1:8684369-8684439	0.436619718	0.738095	605226	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3)"	AD
chr1	16353031	16353108	CLCNKA	chr1:16353031-16353108	0.641025641	0.688312	602024	"Bartter syndrome, type 4b, digenic, 613090 (3)"	Digenic recessive
chr1	16353192	16353270	CLCNKA	chr1:16353192-16353270	0.594936709	0.653846	602024	"Bartter syndrome, type 4b, digenic, 613090 (3)"	Digenic recessive
